capr1	80.22341745966074	2417	27.393752813339233
capr2	65.35433070866142	127	1.2207345962524414
capr3	82.75154004106776	487	4.118986129760742
capr4	85.86666666666666	375	3.527451992034912
capr5	73.27188940092167	217	1.9029111862182617
capr6	84.5505617977528	356	2.507267951965332
capr7	91.55555555555556	675	4.971658945083618
capr8	80.06182380216383	647	5.469310998916626
capr9	87.66980146290491	2871	29.765408277511597
capr10	89.2802450229709	653	5.432983160018921
capr11	72.86063569682152	409	3.158559799194336
*capr12	55.46218487394958	238	1.6619558334350586
capr13	79.58477508650519	867	7.424105167388916
capr14	76.47058823529412	102	1.0012764930725098
capr15	79.82062780269058	669	5.606010437011719
capr16	86.80981595092024	326	3.031895160675049
capr17	75.25773195876289	197	1.6694786548614502
capr18	81.85185185185185	270	2.3297927379608154
capr19	78.94736842105263	247	2.2519261837005615
capr20	80.71428571428571	420	3.816730260848999
capr21	83.26359832635983	239	2.3925719261169434
capr22	73.07692307692308	286	2.5471396446228027
capr23	85.71428571428571	182	1.527864933013916
capr24	84.30493273542601	223	1.937861680984497
capr25	82.63888888888889	144	1.2087175846099854
